식생활 유형 명,순위,일자,봄 메뉴,여름 메뉴,가을 메뉴,겨울 메뉴
DTLF_TY_NM,RANK,DE,SPRNG_MENU,SUMMER_MENU,AUTUMN_MENU,WINTER_MENU
건강식단추구,1,2014,오징어채무침,초밥,국수,굴비구이
건강식단추구,2,2014,꽁치김치찌개,칼국수,굴비구이,짬뽕
건강식단추구,3,2014,꽁치조림,꽁치조림,도토리묵무침,부대찌개
건강식단추구,4,2014,튀김,오리구이,샐러드,명란젓
건강식단추구,5,2014,낙지젓,부대찌개,어묵국,비지찌개
건강식단추구,6,2014,샐러드,연두부,전,콩부침
건강식단추구,7,2014,불고기,치킨,경단,샐러드
건강식단추구,8,2014,도토리묵무침,물만두,동태전,순두부찌개
건강식단추구,9,2014,콩부침,육개장,김,삶은문어
건강식단추구,10,2014,비지찌개,파스타,또띠아,무말랭이
건강식단추구,11,2014,전복죽,밝볶음탕,갈비탕,군만두
건강식단추구,12,2014,참치,새우튀김,밝볶음탕,소고기죽
건강식단추구,13,2014,군만두,김자반,햄버거,빈대떡
건강식단추구,14,2014,삼겹살,주먹밥,장조림,대구전
건강식단추구,15,2014,무말랭이,동태전,김치찌개,떡볶이
건강식단추구,16,2014,해물완자,무말랭이,무말랭이,삼겹살
건강식단추구,17,2014,밝볶음탕,비지찌개,닭볶음탕,오징어
건강식단추구,18,2014,콩국,김치찌개,야채롤,땅콩자반
건강식단추구,19,2014,오뎅국,장어구이,멸치조림,콩찌개
건강식단추구,20,2014,치킨너겟,닭갈비,빈대떡,제육덮밥
경제성추구,1,2014,두부찌개,커리,잔치국수,초밥
경제성추구,2,2014,잔치국수,라면,오징어젓갈,칼국수
경제성추구,3,2014,짜장밥,물냉면,짜장밥,라면
경제성추구,4,2014,돈가스,자장면,튀김,떡국
경제성추구,5,2014,어묵국,짬뽕,게장,튀김
경제성추구,6,2014,짬뽕,비빔밥,번데기,짜장밥
경제성추구,7,2014,비빔밥,튀김,소불고기,김
경제성추구,8,2014,번데기,번데기,떡갈비,치킨
경제성추구,9,2014,우동,우동,우동,돈가스
경제성추구,10,2014,장조림,불고기,야채죽,전
경제성추구,11,2014,미트볼,갈비탕,월남쌈,소고기스프
경제성추구,12,2014,떡갈비,소고기스프,콩자반,햄버거
경제성추구,13,2014,김,미트볼,완자,새우튀김
경제성추구,14,2014,소고기죽,갈비,불고기,미역국
경제성추구,15,2014,동그랑땡,부산오뎅,미역국,파스타
경제성추구,16,2014,케밥,미역국,삼겹살,해물완자
경제성추구,17,2014,치즈스틱,닭강정,소고기스프,번데기
경제성추구,18,2014,된장찌개,비빔국수,미트볼,콩자반
경제성추구,19,2014,감자탕,연근조림,김자반,불고기
경제성추구,20,2014,쭈꾸미볶음,동그랑땡,비빔밥,야채죽
로컬푸드지향,1,2014,칼국수,삼겹살구이,새우젓갈,자반고등어
로컬푸드지향,2,2014,참외장아찌,유부초밥,꽁치조림,참외장아찌
로컬푸드지향,3,2014,오징어젓갈,맛살볶음,양송이스프,핫도그
로컬푸드지향,4,2014,연두부,냉면,크림스프,새우젓갈
로컬푸드지향,5,2014,북어포,도토리묵무침,북어포,어묵국
로컬푸드지향,6,2014,오리구이,젓갈,낙지젓,북어포
로컬푸드지향,7,2014,왕만두,참치,치킨,김밥
로컬푸드지향,8,2014,게장,오징어젓갈,비지찌개,게장
로컬푸드지향,9,2014,야채수프,오징어구이,김밥,녹두전
로컬푸드지향,10,2014,갈비탕,명란젓,전복죽,부산오뎅
로컬푸드지향,11,2014,비빔국수,어묵국,콩부침,경단
로컬푸드지향,12,2014,누룽지탕,양송이스프,멸치젓갈,호박죽
로컬푸드지향,13,2014,곱창볶음,월남쌈,소고기죽,팥죽
로컬푸드지향,14,2014,닭갈비,북어포,야채수프,볶음밥
로컬푸드지향,15,2014,김자반,게장,동그랑땡,다시마튀각
로컬푸드지향,16,2014,해물경단,전복죽,군만두,콩비지
로컬푸드지향,17,2014,탕수육,김밥,콩찌개,참치
로컬푸드지향,18,2014,어묵,콩국수,소갈비,매운탕
로컬푸드지향,19,2014,곰탕,소고기죽,해물경단,떡갈비
로컬푸드지향,20,2014,콩찌개,호박죽,곱창볶음,가지무침
식생활모험가,1,2014,커리,만두,초밥,피자
식생활모험가,2,2014,젓갈,국수,커리,꽁치김치찌개
식생활모험가,3,2014,골뱅이무침,순두부,꽁치김치찌개,젓갈
식생활모험가,4,2014,새우젓갈,오징어채무침,명란젓,골뱅이무침
식생활모험가,5,2014,부대찌개,굴비구이,부대찌개,오징어젓갈
식생활모험가,6,2014,크림스프,골뱅이무침,닭꼬치,자장면
식생활모험가,7,2014,닭꼬치,돈가스,볶음밥,닭꼬치
식생활모험가,8,2014,양송이스프,삼겹살,순두부찌개,동태전
식생활모험가,9,2014,오징어구이,야채죽,새우튀김,오징어구이
식생활모험가,10,2014,냉면,닭꼬치,떡볶이,해물경단
식생활모험가,11,2014,새우튀김,떡볶이,곰탕,동그랑땡
식생활모험가,12,2014,야채죽,낙지젓,오징어구이,전복죽
식생활모험가,13,2014,볶음밥,크림스프,삶은문어,미트볼
식생활모험가,14,2014,호박죽,참치죽,육포,양장피
식생활모험가,15,2014,콩자반,오이소박이,등갈비구이,단팥죽
식생활모험가,16,2014,파스타,콩부침,참치샐러드,오뎅국
식생활모험가,17,2014,김치찌개,소시지,갈비,닭강정
식생활모험가,18,2014,다시마튀각,매운탕,해물완자,연근조림
식생활모험가,19,2014,생선까스,추어탕,닭강정,갈비
식생활모험가,20,2014,알탕,생선까스,잡채만두,치킨너겟
안전성중시,1,2014,굴비구이,피자,고등어구이,두부찌개
안전성중시,2,2014,핫도그,샌드위치,유부초밥,오징어채무침
안전성중시,3,2014,오이소박이,샐러드,오징어채무침,샌드위치
안전성중시,4,2014,명란젓,쌀국수,샌드위치,잡채
안전성중시,5,2014,자장면,멸치볶음,참외장아찌,크림스프
안전성중시,6,2014,쌀국수,잡채,돈가스,물만두
안전성중시,7,2014,잡채,떡갈비,짬뽕,멸치볶음
안전성중시,8,2014,멸치볶음,장조림,오리구이,쌀국수
안전성중시,9,2014,치킨,삼계탕,잡채,육개장
안전성중시,10,2014,물만두,왕만두,자장면,우동
안전성중시,11,2014,햄버거,또띠아,물만두,야채수프
안전성중시,12,2014,소고기스프,순두부찌개,멸치볶음,또띠아
안전성중시,13,2014,물냉면,군만두,참치,낙지젓
안전성중시,14,2014,순두부찌개,메밀국수,연두부,된장찌개
안전성중시,15,2014,전,양장피,쌀국수,오이소박이
안전성중시,16,2014,또띠아,전,된장찌개,해물탕
안전성중시,17,2014,주먹밥,단팥죽,왕만두,생채무침
안전성중시,18,2014,미역국,감자수제비,녹두전,조개탕
안전성중시,19,2014,수제비,탕수육,동치미,곰국
안전성중시,20,2014,닭강정,등갈비구이,오이소박이,꼬막무침
