메뉴가격,지역특산메뉴여부,메뉴설명(MENU_DSCRN),메뉴카테고리대분류명,메뉴카테고리소분류명
10000.0,Y,"야채,미꾸라지",한식,추어탕
15000.0,N,밀가루,한식,닭강정
5500.0,N,"야채,쌀",한식,비빔밥
10000.0,Y,"야채,도토리",한식,도토리묵무침
12000.0,Y,"야채,고추,닭고기,양배추",한식,닭갈비
8000.0,Y,"야채,메밀면,오이,육수",한식,막국수
8000.0,Y,"야채,황태",한식,해장국
15000.0,N,"야채,고추,가자미",한식,물회
6000.0,Y,"야채,면",한식,칼국수
8000.0,Y,보리,한식,보리밥
7000.0,N,"야채,쌀,돼지내장,당면",한식,국밥
7000.0,Y,"쌀,계란,곤드레",한식,곤드레밥
45000.0,Y,"생선회,송어",한식,송어회
15000.0,N,"고추,닭발",한식,닭발
10000.0,N,"계란,밀가루,딸기",제과류,케이크
2000.0,N,"사과,카라멜",제과류,파이
13000.0,N,"인삼,닭고기,엄나무",한식,삼계탕
50000.0,N,"인삼,마늘,닭고기,찹쌀",한식,닭백숙
35000.0,N,"야채,닭고기,감자",한식,닭볶음탕
60000.0,N,"야채,오리고기",한식,오리탕
6000.0,N,"야채,순두부",한식,백반
30000.0,N,"인삼,오리고기,마늘,찹쌀",한식,오리백숙
8000.0,N,치즈,한식,꼬치
5000.0,N,"새우,밀가루,면,가쓰오부시",한식,우동
30000.0,N,"야채,소갈비",한식,갈비찜
4500.0,N,"치즈,베이컨",패스트푸드,햄버거
16000.0,N,"닭고기,밀가루",패스트푸드,후라이드치킨
17000.0,N,"야채,닭고기,밀가루,파",한식,파닭
13500.0,N,"닭고기,밀가루",패스트푸드,양념치킨
9000.0,N,감자,한식,감자튀김
15000.0,N,갈비,한식,갈비
6000.0,N,"야채,두부",한식,청국장
6000.0,N,"야채,두부",한식,된장찌개
13000.0,N,황태,한식,황태
14000.0,N,"해산물,밀가루,파",한식,해물파전
15000.0,N,"야채,오징어",한식,오징어볶음
6000.0,N,"야채,쌀",한식,돌솥비빔밥
7000.0,N,"야채,햄,캔참치",한식,참치찌개
15000.0,N,밀가루,패스트푸드,간장치킨
2000.0,N,"고추,밀가루,소시지",패스트푸드,핫도그
4000.0,N,"치즈,밀가루",패스트푸드,치즈볼
25000.0,N,"야채,곱창",한식,곱창전골
10000.0,N,"김치,밀가루",한식,김치전
5000.0,N,"밀가루,파",한식,파전
20000.0,N,고기,한식,수육
6000.0,N,"야채,두부,고기,떡,밀가루",한식,떡만두국
10000.0,N,소갈비,한식,소갈비
13000.0,N,돼지갈비,한식,돼지갈비
12000.0,N,삼겹살,한식,생삼겹살
6000.0,N,"야채,메밀면,계란,육수",한식,물냉면
6500.0,N,"야채,메밀면,계란",한식,비빔냉면
2000.0,N,메밀면,한식,면사리
5000.0,N,"야채,돼지고기,면",중식,짜장면
8000.0,N,"야채,해산물,면,굴",중식,짬뽕
4000.0,N,우유,제과류,아이스크림
3000.0,N,"야채,소고기,쌀,김",한식,김밥
3000.0,N,"야채,참치,쌀,김",한식,참치김밥
3000.0,N,"야채,치즈,쌀,김",한식,치즈김밥
4000.0,N,"야채,떡,어묵",한식,라볶이
3500.0,N,"야채,떡,어묵",한식,떡볶이
17000.0,N,"야채,돼지고기,전분",중식,탕수육
7000.0,N,"야채,김치",한식,김치찌개
10000.0,N,"야채,고추,김치,두부,햄",한식,부대찌개
16000.0,N,"야채,돼지고기",한식,두루치기
5000.0,N,"야채,메밀면,계란,육수",한식,냉면
9000.0,N,"야채,갈비,김치",한식,김치전골
14000.0,N,"김치,두부",한식,두부김치
25000.0,N,소고기,한식,육회
7000.0,N,메밀면,일식,소바
5000.0,N,"야채,면,멸치육수",한식,잔치국수
25000.0,N,오리고기,한식,훈제오리
8000.0,N,"소고기,돼지고기",한식,떡갈비
10000.0,N,"쌀,단호박",양식,영양밥
34000.0,N,"야채,김치,돼지고기",한식,보쌈
33000.0,N,돼지고기,한식,족발
6000.0,N,"면,열무김치",한식,국수
6000.0,N,"야채,두부,고기,밀가루",한식,만두국
4000.0,N,"야채,두부,고기,밀가루",중식,군만두
4000.0,N,"야채,두부,고기,밀가루",중식,물만두
7000.0,N,"야채,돼지고기,쌀",중식,짜장
7000.0,N,"야채,해산물,쌀",중식,짬뽕밥
8000.0,N,"야채,고기,쌀,버섯,당면",중식,잡채밥
14000.0,N,"야채,돼지고기,면",중식,쟁반짜장
